115.191,304.878,26.457,31.292,1.000
116.720,303.139,29.000,36.234,1.000
118.249,301.401,31.542,41.177,1.000
119.779,299.663,34.085,46.120,1.000
121.308,297.924,36.627,51.062,1.000
122.837,296.186,39.170,56.005,1.000
124.366,294.448,41.712,60.948,1.000
125.896,292.709,44.255,65.890,1.000
127.425,290.971,46.797,70.833,1.000
128.954,289.232,49.340,75.776,1.000
130.483,287.494,51.882,80.719,1.000
132.012,285.756,54.425,85.661,1.000
133.542,284.017,56.967,90.604,1.000
135.071,282.279,59.510,95.547,1.000
136.600,280.541,62.052,100.489,1.000
138.129,278.802,64.595,105.432,1.000
139.659,277.064,67.137,110.375,1.000
141.188,275.326,69.680,115.318,1.000
142.717,273.587,72.222,120.260,1.000
144.246,271.849,74.764,125.203,1.000
145.776,270.111,77.307,130.146,1.000
147.305,274.883,79.849,135.088,1.000
148.834,279.655,82.392,140.031,1.000
150.363,284.428,84.934,144.974,1.000
151.892,289.200,87.477,149.917,1.000
153.422,293.972,90.019,154.859,1.000
154.951,298.745,92.562,159.802,1.000
156.480,303.517,95.104,164.745,1.000
158.009,308.290,97.647,169.687,1.000
159.539,313.062,100.189,174.630,1.000
161.068,317.834,102.732,179.573,0.000
162.597,322.607,105.274,184.515,0.000
164.126,327.379,107.817,189.458,0.000
165.655,332.151,110.359,194.401,0.000
167.185,336.924,112.902,199.344,0.000
168.714,341.696,115.444,204.286,0.000
170.243,346.468,117.987,209.229,0.000
171.772,351.241,120.529,214.172,0.000
173.302,356.013,123.072,219.114,0.000
174.831,0.786,125.614,224.057,0.000
176.360,5.558,128.157,229.000,0.000
177.889,10.330,130.699,233.943,0.000
179.419,13.268,133.242,238.885,0.000
180.948,16.206,135.784,243.828,0.000
182.477,19.144,138.327,248.771,0.000
184.006,22.082,140.869,253.713,0.000
185.535,25.020,143.412,258.656,0.000
187.065,27.958,145.954,263.599,0.000
188.594,30.896,148.496,268.541,0.000
190.123,33.834,151.039,273.484,0.000
191.652,36.772,153.581,278.427,0.000
193.182,39.710,156.124,283.370,0.000
194.711,42.648,158.666,288.312,0.000
196.240,45.586,161.209,293.255,0.000
197.769,48.523,163.751,298.198,0.000
199.298,51.461,166.294,303.140,0.000
200.828,54.399,168.836,308.083,0.000
202.357,57.337,171.379,313.026,0.000
203.886,60.275,173.921,317.969,0.000
205.415,56.173,176.464,322.911,0.000
206.945,52.072,179.006,327.854,0.000
208.474,47.970,181.549,332.797,0.000
210.003,43.868,184.091,337.739,0.000
211.532,39.766,186.634,342.682,0.000
213.062,35.665,189.176,347.625,0.000
214.591,31.563,191.719,352.568,0.000
216.120,27.461,194.261,357.510,0.000
217.649,23.360,196.804,2.453,0.000
219.178,19.258,199.346,7.396,0.000
220.708,15.156,201.889,12.338,0.000
222.237,11.054,204.431,17.281,0.000
223.766,6.953,206.974,22.224,0.000
225.295,2.851,209.516,27.166,0.000
226.825,358.749,212.059,32.109,0.000
228.354,354.647,214.601,37.052,0.000
229.883,350.546,217.144,41.995,0.000
231.412,346.444,219.686,46.937,0.000
232.941,342.342,222.228,51.880,0.000
234.471,338.240,224.771,56.823,0.000
236.000,334.139,227.313,61.765,0.000
237.529,330.037,229.856,66.708,1.000
239.058,325.935,232.398,71.651,1.000
240.588,321.833,234.941,76.594,1.000
242.117,317.732,237.483,81.536,1.000
243.646,313.630,240.026,86.479,1.000
245.175,309.528,242.568,91.422,1.000
246.705,305.426,245.111,96.364,1.000
248.234,301.325,247.653,101.307,1.000
249.763,297.223,250.196,106.250,1.000
251.292,293.121,252.738,111.192,1.000
252.821,289.019,255.281,116.135,1.000
254.351,284.918,257.823,121.078,1.000
255.880,280.816,260.366,126.021,1.000
257.409,276.714,262.908,130.963,1.000
258.938,272.613,265.451,135.906,1.000
260.468,268.511,267.993,140.849,1.000
261.997,264.409,270.536,145.791,1.000
263.526,260.307,273.078,150.734,1.000
265.055,256.206,275.621,155.677,1.000
266.585,252.104,278.163,160.620,1.000
268.114,248.002,280.706,165.562,1.000
269.643,243.900,283.248,170.505,1.000
271.172,239.799,285.791,175.448,1.000
272.701,235.697,288.333,180.390,1.000
274.231,231.595,290.875,185.333,1.000
275.760,227.493,293.418,190.276,1.000
277.289,223.392,295.960,195.219,1.000
278.818,219.290,298.503,200.161,1.000
280.348,215.188,301.045,205.104,1.000
281.877,211.086,303.588,210.047,1.000
283.406,206.985,306.130,214.989,1.000
284.935,202.883,308.673,219.932,1.000
286.464,198.781,311.215,224.875,1.000
287.994,194.679,313.758,229.817,1.000
289.523,190.578,316.300,234.760,1.000
291.052,186.476,318.843,239.703,1.000
292.581,182.374,321.385,244.646,1.000
294.111,178.272,323.928,249.588,1.000
295.640,174.171,326.470,254.531,1.000
297.169,170.069,329.013,259.474,1.000
298.698,174.249,331.555,264.416,1.000
300.228,178.429,334.098,269.359,1.000
301.757,182.610,336.640,274.302,1.000
303.286,186.790,339.183,279.245,0.000
304.815,190.970,341.725,284.187,0.000
306.344,195.150,344.268,289.130,0.000
307.874,199.330,346.810,294.073,0.000
309.403,203.511,349.353,299.015,0.000
310.932,207.691,351.895,303.958,0.000
312.461,211.871,354.438,308.901,0.000
313.991,216.051,356.980,313.843,0.000
315.520,220.231,359.523,318.786,0.000
317.049,222.107,2.065,323.729,0.000
318.578,223.982,4.607,328.672,0.000
320.107,225.857,7.150,333.614,0.000
321.637,227.732,9.692,338.557,0.000
323.166,229.607,12.235,343.500,0.000
324.695,231.483,14.777,348.442,0.000
326.224,233.358,17.320,353.385,0.000
327.754,235.233,19.862,358.328,0.000
